Gem1,Win,Pos1
1,1,C1
1,1,E5
1,1,A4
1,1,C5
1,1,C3
1,1,B2
1,1,D4
1,1,C4
1,1,E2
1,1,A4
1,1,C3
1,1,B2
1,1,B3
1,1,E2
1,1,C3
1,1,D5
1,1,B4
1,1,D4
1,1,A5
1,1,C3
1,1,B4
1,1,E4
1,1,C2
1,1,D3
1,1,E3
1,1,B1
1,1,C5
1,1,D1
1,1,A2
1,1,E5
1,1,D5
1,1,A2
1,1,D3
1,1,D4
1,1,C4
1,1,E5
1,1,C5
1,1,A5
1,1,C1
1,1,B5
1,1,C1
1,1,C2
1,1,E1
1,1,C2
1,1,E2
1,1,A2
1,1,C3
1,1,B2
9,0,E4
1,1,B2
1,1,A2
1,1,A2
1,1,B3
1,1,B1
1,1,A3
1,1,A1
1,1,E2
1,1,E4
1,1,B2
1,1,B5
1,1,C4
9,0,B1
1,1,E2
1,1,B4
1,1,E5
1,1,D5
1,1,D4
1,1,C1
1,1,E1
1,1,D3
1,1,A5
1,1,B1
1,1,D2
1,1,E2
1,1,D3
1,1,E5
1,1,B4
1,1,B5
1,1,E1
1,1,E4
1,1,B3
1,1,D3
1,1,B5
1,1,D2
1,1,D1
1,1,B3
1,1,B2
1,1,A3
1,1,E4
1,1,A3
1,1,D4
1,1,A3
1,1,B3
1,1,E5
1,1,E1
1,1,C5
1,1,A2
1,1,B1
1,1,E4
1,1,C3
1,1,E5
1,1,D5
1,1,C2
1,1,C4
1,1,D4
1,1,D2
1,1,B4
1,1,B4
1,1,B1
1,1,B1
1,1,D1
1,1,B3
1,1,E2
1,1,C1
1,1,A1
1,1,A2
1,1,D5
1,1,A2
1,1,C4
1,1,D3
1,1,A2
1,1,E5
1,1,C4
1,1,A2
1,1,A1
1,1,D4
1,1,D4
1,1,E4
1,1,A3
1,1,D1
1,1,C3
1,1,A5
1,1,A5
1,1,A3
1,1,A2
1,1,E1
1,1,C1
1,1,A1
1,1,A5
1,1,B5
1,1,A2
1,1,A2
1,1,E2
1,1,A4
1,1,C1
1,1,D4
1,1,D4
1,1,B3
1,1,B2
1,1,E3
1,1,D1
1,1,B2
1,1,C5
1,1,E1
1,1,A4
1,1,E1
1,1,E3
1,1,E2
1,1,E5
1,1,E1
1,1,D4
1,1,B4
1,1,A2
1,1,D2
1,1,E4
1,1,C3
1,1,E1
1,1,B1
1,1,A1
1,1,E3
1,1,A2
1,1,C4
1,1,E1
1,1,E4
1,1,E5
1,1,E2
1,1,B5
1,1,D2
1,1,C4
1,1,A4
1,1,A2
1,1,A2
1,1,D5
1,1,D2
1,1,E1
1,1,B4
1,1,B3
1,1,C5
1,1,B5
1,1,D4
1,1,C2
1,1,B2
1,1,B3
1,1,D4
1,1,B1
1,1,E5
1,1,A2
1,1,B5
1,1,C3
1,1,D1
1,1,D4
1,1,B5
1,1,E4
1,1,B2
1,1,A5
1,1,C1
1,1,A5
1,1,D2
1,1,A4
1,1,D5
1,1,B3
1,1,C2
1,1,C4
1,1,B5
1,1,A2
1,1,D3
1,1,E3
1,1,B4
1,1,B2
1,1,C3
1,1,C1
1,1,E5
1,1,B2
1,1,E4
9,0,C4
1,1,E2
1,1,B3
1,1,C4
1,1,D1
1,1,D4
1,1,B5
1,1,C4
1,1,C5
1,1,B2
1,1,B1
1,1,A5
1,1,B2
1,1,A4
1,1,D3
1,1,B3
1,1,B3
1,1,A1
1,1,C1
1,1,C3
1,1,B4
1,1,A4
1,1,B2
1,1,D3
1,1,A1
1,1,C4
1,1,B3
1,1,A5
1,1,B1
1,1,B1
1,1,B1
1,1,E2
1,1,B2
1,1,E2
1,1,C5
1,1,A2
1,1,E4
1,1,A4
1,1,B2
1,1,C2
1,1,A5
1,1,A4
1,1,D2
1,1,D2
1,1,E1
1,1,B3
1,1,A5
1,1,E4
1,1,C2
1,1,E3
1,1,E4
1,1,A1
1,1,B3
1,1,B4
1,1,A4
1,1,D2
1,1,C4
1,1,C5
1,1,B3
1,1,B2
1,1,C2
1,1,C1
1,1,B1
1,1,A3
1,1,A4
1,1,A1
1,1,E2
1,1,E5
1,1,A1
1,1,D4
1,1,E1
1,1,D2
1,1,B1
1,1,D5
1,1,B3
1,1,B4
1,1,C3
1,1,E4
1,1,B1
1,1,B5
1,1,A5
1,1,E5
1,1,E1
1,1,B2
1,1,B2
1,1,D3
1,1,A1
1,1,B3
1,1,A2
1,1,C4
9,0,B2
1,1,B5
1,1,D3
1,1,A4
1,1,B2
1,1,C5
1,1,C2
1,1,A1
1,1,D3
1,1,E5
1,1,A5
1,1,E3
1,1,A5
1,1,C2
1,1,C4
1,1,E3
1,1,A1
1,1,D1
1,1,E1
1,1,C5
1,1,A3
1,1,D3
1,1,D4
1,1,E4
1,1,C3
1,1,C3
1,1,C2
1,1,D3
1,1,E4
1,1,C5
1,1,A3
1,1,D5
1,1,D1
1,1,D2
1,1,A1
1,1,E3
1,1,D3
1,1,B1
1,1,A1
1,1,A5
1,1,D1
1,1,D3
1,1,A2
1,1,C5
1,1,E2
1,1,A4
1,1,C5
1,1,E1
1,1,C1
1,1,B5
1,1,D1
1,1,B4
1,1,E4
1,1,E5
1,1,A4
1,1,C5
1,1,B2
1,1,D2
1,1,D3
1,1,E4
1,1,D5
1,1,A3
1,1,E4
1,1,C5
1,1,C4
1,1,B3
1,1,C2
1,1,E1
1,1,E5
1,1,E3
1,1,B1
1,1,B5
1,1,A3
1,1,B5
1,1,D1
1,1,D5
1,1,E5
1,1,E5
1,1,B5
1,1,C5
1,1,D5
1,1,C2
1,1,D5
1,1,C3
1,1,B1
1,1,C4
9,0,A4
1,1,A3
1,1,D2
1,1,B1
1,1,A1
1,1,D5
1,1,E3
1,1,C2
1,1,E1
1,1,E1
1,1,E4
1,1,E1
1,1,A5
1,1,C2
1,1,E5
1,1,D1
1,1,A5
1,1,C1
1,1,B1
1,1,D1
1,1,E2
1,1,B1
1,1,E4
1,1,E1
1,1,E3
1,1,D4
1,1,D5
1,1,E3
1,1,E4
1,1,C5
1,1,E5
1,1,D4
1,1,B1
1,1,E4
1,1,E3
1,1,A4
1,1,E5
9,0,E1
1,1,A1
1,1,A2
1,1,C5
1,1,B4
1,1,D1
1,1,E2
1,1,A2
1,1,D5
1,1,C2
1,1,D2
1,1,E1
1,1,E2
1,1,A4
1,1,D4
1,1,C1
1,1,B2
1,1,E3
1,1,B3
1,1,D3
1,1,D1
1,1,E5
1,1,A5
1,1,B1
1,1,A2
1,1,E5
1,1,C2
1,1,A4
1,1,B2
1,1,C5
1,1,C4
1,1,E5
1,1,D5
1,1,D3
1,1,C2
1,1,B3
1,1,E1
1,1,A2
1,1,B5
1,1,E2
1,1,E2
1,1,D3
1,1,B1
1,1,D4
1,1,D3
1,1,B4
1,1,D1
1,1,B2
1,1,D3
1,1,E2
1,1,C5
1,1,D5
1,1,D5
1,1,D2
1,1,C1
1,1,D4
1,1,B4
1,1,C4
1,1,D4
1,1,B1
1,1,A3
1,1,D2
1,1,D2
1,1,E2
1,1,D2
1,1,D3
1,1,D1
1,1,C3
1,1,D2
1,1,A3
1,1,A5
1,1,C2
1,1,D4
1,1,C2
1,1,A1
1,1,D4
1,1,A3
1,1,B4
1,1,B2
1,1,D4
1,1,C1
1,1,E1
1,1,A3
1,1,B4
1,1,B1
1,1,C4
1,1,A1
1,1,D4
1,1,E2
1,1,E2
1,1,D3
1,1,C2
1,1,A2
1,1,D5
1,1,D3
1,1,A4
1,1,A4
1,1,E4
1,1,E4
1,1,A3
1,1,C1
1,1,B2
1,1,A5
1,1,C5
1,1,D2
1,1,B5
1,1,C1
1,1,B2
1,1,D4
1,1,D1
1,1,A4
1,1,E2
1,1,D5
1,1,E3
1,1,D3
1,1,B3
1,1,E4
1,1,B4
1,1,B2
1,1,A1
1,1,D2
1,1,D5
1,1,B4
1,1,E5
1,1,D4
1,1,E3
1,1,D4
1,1,E5
1,1,D4
1,1,A3
1,1,E5
1,1,B1
1,1,E1
1,1,C1
1,1,E5
1,1,B4
1,1,A3
1,1,C5
1,1,D2
1,1,B4
1,1,D5
1,1,C4
1,1,D1
1,1,A2
1,1,D2
1,1,B1
1,1,E3
1,1,B5
1,1,B3
1,1,C5
1,1,B1
1,1,D1
1,1,A1
1,1,B3
1,1,D5
1,1,E2
1,1,D5
1,1,B5
1,1,C2
1,1,C3
1,1,C4
1,1,D1
1,1,B3
1,1,D1
1,1,A5
1,1,D1
1,1,E3
1,1,E1
1,1,A2
1,1,A3
1,1,B3
1,1,B3
1,1,E2
1,1,A3
1,1,C2
1,1,E3
1,1,A3
1,1,A2
1,1,E3
1,1,B2
1,1,B1
1,1,D2
1,1,D1
1,1,D4
1,1,D3
1,1,A1
1,1,E4
1,1,B5
1,1,B4
1,1,C5
1,1,D4
1,1,B3
1,1,E4
1,1,A5
1,1,B4
1,1,E3
1,1,D4
1,1,C2
1,1,A5
1,1,D5
1,1,E4
1,1,C5
1,1,A2
1,1,D2
1,1,E5
1,1,C1
1,1,C3
1,1,B3
1,1,B5
1,1,E5
1,1,A4
1,1,D3
1,1,C1
1,1,B4
1,1,A2
1,1,A1
1,1,D1
1,1,D5
1,1,C1
1,1,B2
1,1,C5
1,1,D1
1,1,D4
1,1,E5
1,1,A1
1,1,A3
1,1,A3
1,1,C4
1,1,A5
1,1,E2
1,1,C5
1,1,C5
1,1,E5
1,1,B1
1,1,E3
1,1,D3
1,1,E1
1,1,E4
1,1,D4
1,1,B1
1,1,A2
1,1,A5
1,1,C5
1,1,E3
1,1,D1
1,1,B1
1,1,A2
1,1,E3
1,1,A5
1,1,C3
1,1,D2
1,1,B3
1,1,B3
1,1,D1
1,1,B5
1,1,A1
1,1,C4
1,1,A5
1,1,B3
1,1,D1
1,1,E3
1,1,D3
1,1,D2
1,1,A3
1,1,A2
1,1,D3
1,1,A3
1,1,C2
1,1,A5
1,1,B5
1,1,A4
1,1,A4
1,1,B3
1,1,D2
1,1,D2
1,1,E2
1,1,D5
1,1,B4
1,1,C1
1,1,B2
1,1,D3
1,1,D5
1,1,C4
1,1,D5
1,1,A2
1,1,B5
1,1,D2
1,1,E2
1,1,D5
1,1,B1
1,1,A5
1,1,B3
1,1,D1
1,1,E2
1,1,D1
1,1,E3
1,1,E1
1,1,B2
1,1,B2
1,1,B3
1,1,C2
9,0,B4
1,1,B1
1,1,D3
1,1,A3
1,1,E2
1,1,A1
1,1,C3
1,1,B3
1,1,B5
1,1,D1
1,1,E4
1,1,D1
1,1,D1
1,1,E5
1,1,A1
1,1,D5
1,1,B2
1,1,A2
1,1,E3
1,1,D4
1,1,D1
1,1,E1
1,1,C1
1,1,D3
1,1,A3
1,1,A4
1,1,D1
1,1,E1
1,1,E4
1,1,D5
1,1,A2
1,1,E4
1,1,D1
1,1,A4
1,1,D4
1,1,D1
1,1,C4
1,1,D2
1,1,A4
1,1,E3
1,1,A2
1,1,A4
1,1,A5
1,1,D4
1,1,E2
1,1,E4
1,1,D4
1,1,E1
1,1,E5
1,1,E1
1,1,C5
1,1,C4
1,1,A1
1,1,D2
1,1,B4
1,1,A5
1,1,B3
1,1,A3
1,1,C5
1,1,E3
1,1,B2
1,1,B1
1,1,D3
1,1,E4
1,1,A1
1,1,E1
1,1,B1
1,1,A3
1,1,B4
1,1,A3
1,1,E1
1,1,C1
1,1,A5
1,1,E5
1,1,A1
1,1,A3
1,1,E3
1,1,B5
1,1,E2
1,1,D2
1,1,E5
1,1,B2
1,1,B1
1,1,A4
1,1,D1
1,1,E3
1,1,A3
1,1,D5
1,1,A3
1,1,A3
1,1,C2
1,1,B3
1,1,A2
1,1,C1
1,1,B2
1,1,B4
1,1,A2
1,1,E4
1,1,A4
1,1,A3
1,1,B1
1,1,A4
1,1,A4
1,1,B1
1,1,E3
1,1,E2
1,1,C5
1,1,E3
1,1,E1
1,1,B2
1,1,A2
1,1,D3
1,1,C4
1,1,B3
1,1,D4
1,1,E5
1,1,A4
1,1,C3
1,1,C1
1,1,D5
1,1,B4
1,1,D4
1,1,B3
1,1,E5
1,1,C5
1,1,A4
1,1,E5
1,1,D2
1,1,E1
1,1,E4
1,1,C5
1,1,A5
1,1,E3
1,1,C5
1,1,C3
1,1,E4
1,1,A4
1,1,A1
1,1,B3
1,1,D3
1,1,C1
1,1,D1
1,1,C3
1,1,A2
1,1,B4
1,1,D5
1,1,B4
1,1,E2
1,1,A2
1,1,B2
1,1,E4
1,1,A2
1,1,C3
1,1,B2
1,1,E5
1,1,E3
1,1,A4
1,1,C3
1,1,D3
1,1,D3
1,1,D5
1,1,A3
1,1,D2
1,1,A5
1,1,A2
1,1,E3
1,1,B5
1,1,B1
1,1,B5
1,1,D4
1,1,E5
1,1,D5
1,1,E5
1,1,D2
1,1,A4
1,1,C1
1,1,B5
1,1,E2
1,1,A5
1,1,E1
1,1,D4
1,1,A3
1,1,B4
1,1,B2
1,1,E2
1,1,C5
1,1,C1
1,1,D3
1,1,C4
1,1,D4
1,1,D5
1,1,A1
1,1,E3
1,1,C4
1,1,E2
1,1,C5
1,1,B5
1,1,A2
1,1,E5
1,1,D3
1,1,A2
1,1,E2
1,1,D5
1,1,C1
1,1,B2
1,1,D5
1,1,B2
1,1,B5
1,1,A4
1,1,D2
1,1,E1
1,1,D4
1,1,A2
1,1,A2
1,1,E1
1,1,D2
1,1,C4
1,1,B5
1,1,E1
1,1,A1
1,1,B4
1,1,A1
1,1,B5
1,1,A2
1,1,D4
1,1,A1
1,1,B1
1,1,D5
1,1,C5
1,1,B4
1,1,A4
1,1,D3
1,1,D2
1,1,D2
1,1,D1
1,1,C4
1,1,E1
1,1,B5
1,1,A5
1,1,C3
1,1,B5
1,1,E4
1,1,D4
1,1,D3
1,1,A5
1,1,D3
1,1,D4
1,1,C4
1,1,B3
1,1,E5
1,1,D5
1,1,A2
1,1,E2
1,1,D2
1,1,B1
1,1,D5
1,1,D3
1,1,A3
9,0,E1
1,1,C4
1,1,A5
1,1,A5
1,1,D2
1,1,E5
1,1,A5
1,1,D2
1,1,D4
1,1,E4
1,1,C3
1,1,D4
1,1,A3
1,1,E3
1,1,D2
1,1,E5
1,1,E2
1,1,C3
1,1,C1
1,1,C3
1,1,A3
1,1,A4
1,1,A4
1,1,E5
1,1,E1
1,1,D2
1,1,B2
1,1,E3
1,1,D1
1,1,A5
1,1,D1
1,1,B5
1,1,C2
1,1,D5
1,1,C4
1,1,C5
1,1,C5
1,1,E5
1,1,E1
1,1,C2
1,1,E3
1,1,E4
1,1,B3
1,1,D4
1,1,B5
1,1,D1
1,1,C5
1,1,A2
1,1,B2
1,1,D2
